Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_description
48,2020,MI,FT,Data Scientist,105000,USD,105000,US,100,US,L,"Conduct A/B testing, interpret complex data, and communicate findings to stakeholders using tools like Python and SQL. Mid-level role involving independent projects and team collaboration. Key skills: TensorFlow, Spark, AWS."
49,2020,MI,FT,Data Engineer,61500,EUR,70139,FR,50,FR,L,"Develop infrastructure for big data handling, including cloud-based storage and distributed computing frameworks. Mid-level role involving independent projects and team collaboration. Key skills: Tableau, SQL, Python."
50,2020,EN,FT,Data Analyst,450000,INR,6072,IN,0,IN,S,"Conduct ad-hoc analyses, forecast metrics, and assist in data-driven marketing or product strategies. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Python, TensorFlow, SQL."
51,2020,EN,FT,Data Analyst,91000,USD,91000,US,100,US,L,"Conduct ad-hoc analyses, forecast metrics, and assist in data-driven marketing or product strategies. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Spark, AWS, Tableau."
52,2020,EN,FT,AI Scientist,300000,DKK,45896,DK,50,DK,S,"Focus on explainable AI, federated learning, and ethical considerations in algorithm design. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Spark, TensorFlow, Python."
53,2020,EN,FT,Data Engineer,48000,EUR,54742,PK,100,DE,L,"Design ETL processes, optimize databases, and integrate data from multiple systems for real-time processing. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Python, AWS, Spark."
54,2020,SE,FL,Computer Vision Engineer,60000,USD,60000,RU,100,US,S,General data role involving analysis and modeling.
55,2020,SE,FT,Principal Data Scientist,130000,EUR,148261,DE,100,DE,M,General data role involving analysis and modeling.
56,2020,MI,FT,Data Scientist,34000,EUR,38776,ES,100,ES,M,"Utilize statistical modeling and machine learning to analyze large datasets and provide actionable insights for business growth. Mid-level role involving independent projects and team collaboration. Key skills: AWS, Tableau, TensorFlow."
57,2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,M,"Design experiments, build predictive models, and collaborate with teams to optimize data-driven decision-making processes. Mid-level role involving independent projects and team collaboration. Key skills: AWS, SQL, TensorFlow."
58,2020,SE,FT,Data Scientist,120000,USD,120000,US,50,US,L,"Work on data visualization, feature engineering, and model deployment to support product development and strategy. Senior position leading initiatives and mentoring juniors. Key skills: TensorFlow, SQL, AWS."
59,2020,MI,FT,Data Scientist,138350,USD,138350,US,100,US,M,"Work on data visualization, feature engineering, and model deployment to support product development and strategy. Mid-level role involving independent projects and team collaboration. Key skills: Python, Spark, Tableau."
60,2020,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L,"Design ETL processes, optimize databases, and integrate data from multiple systems for real-time processing. Mid-level role involving independent projects and team collaboration. Key skills: Python, TensorFlow, SQL."
61,2020,MI,FT,Data Engineer,130800,USD,130800,ES,100,US,M,"Develop infrastructure for big data handling, including cloud-based storage and distributed computing frameworks. Mid-level role involving independent projects and team collaboration. Key skills: Tableau, Python, SQL."
62,2020,EN,PT,Data Scientist,19000,EUR,21669,IT,50,IT,S,"Conduct A/B testing, interpret complex data, and communicate findings to stakeholders using tools like Python and SQL. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Tableau, AWS, TensorFlow."
63,2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,L,"Conduct A/B testing, interpret complex data, and communicate findings to stakeholders using tools like Python and SQL. Senior position leading initiatives and mentoring juniors. Key skills: AWS, SQL, Python."
64,2020,SE,FT,Machine Learning Engineer,40000,EUR,45618,HR,100,HR,S,"Build end-to-end ML pipelines, handle large-scale data, and ensure models are efficient and reliable. Senior position leading initiatives and mentoring juniors. Key skills: TensorFlow, AWS, Spark."
65,2020,EN,FT,Data Scientist,55000,EUR,62726,DE,50,DE,S,"Design experiments, build predictive models, and collaborate with teams to optimize data-driven decision-making processes. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Python, TensorFlow, SQL."
66,2020,EN,FT,Data Scientist,43200,EUR,49268,DE,0,DE,S,"Utilize statistical modeling and machine learning to analyze large datasets and provide actionable insights for business growth. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Spark, TensorFlow, AWS."
67,2020,SE,FT,Data Science Manager,190200,USD,190200,US,100,US,M,"Develop data strategy, foster collaboration across departments, and drive adoption of ML solutions. Senior position leading initiatives and mentoring juniors. Key skills: Python, TensorFlow, SQL."
68,2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,S,"Utilize statistical modeling and machine learning to analyze large datasets and provide actionable insights for business growth. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Python, SQL, AWS."
69,2020,SE,FT,Data Scientist,80000,EUR,91237,AT,0,AT,S,"Apply advanced analytics techniques to uncover patterns in data and develop algorithms for forecasting and classification. Senior position leading initiatives and mentoring juniors. Key skills: Spark, Python, TensorFlow."
70,2020,MI,FT,Data Scientist,55000,EUR,62726,FR,50,LU,S,"Conduct A/B testing, interpret complex data, and communicate findings to stakeholders using tools like Python and SQL. Mid-level role involving independent projects and team collaboration. Key skills: Python, SQL, TensorFlow."
71,2020,MI,FT,Data Scientist,37000,EUR,42197,FR,50,FR,S,"Apply advanced analytics techniques to uncover patterns in data and develop algorithms for forecasting and classification. Mid-level role involving independent projects and team collaboration. Key skills: Tableau, Spark, TensorFlow."
72,2021,EN,FT,Research Scientist,60000,GBP,82528,GB,50,GB,L,"Focus on ethical AI, robustness testing, and translating research into practical prototypes. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: TensorFlow, SQL, Spark."
73,2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L,General data role involving analysis and modeling.
74,2021,EX,FT,Head of Data,235000,USD,235000,US,100,US,L,General data role involving analysis and modeling.
75,2021,SE,FT,Data Scientist,45000,EUR,53192,FR,50,FR,L,"Design experiments, build predictive models, and collaborate with teams to optimize data-driven decision-making processes. Senior position leading initiatives and mentoring juniors. Key skills: Spark, AWS, Python."
76,2021,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,M,General data role involving analysis and modeling.
77,2021,MI,PT,3D Computer Vision Researcher,400000,INR,5409,IN,50,IN,M,General data role involving analysis and modeling.
78,2021,MI,CT,ML Engineer,270000,USD,270000,US,100,US,L,General data role involving analysis and modeling.
79,2021,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M,"Analyze business data to identify trends, create reports, and support strategic decisions with visualizations. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Tableau, SQL, TensorFlow."
80,2021,SE,FT,Data Analytics Engineer,67000,EUR,79197,DE,100,DE,L,General data role involving analysis and modeling.
81,2021,MI,FT,Data Engineer,140000,USD,140000,US,100,US,L,"Monitor data quality, implement data governance, and automate workflows using tools like Apache Spark and AWS. Mid-level role involving independent projects and team collaboration. Key skills: AWS, SQL, Tableau."
82,2021,MI,FT,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L,General data role involving analysis and modeling.
83,2021,MI,FT,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,S,"Implement and deploy machine learning models into production environments for scalable applications. Mid-level role involving independent projects and team collaboration. Key skills: AWS, Tableau, TensorFlow."
84,2021,EX,FT,Director of Data Science,130000,EUR,153667,IT,100,PL,L,General data role involving analysis and modeling.
85,2021,MI,FT,Data Engineer,110000,PLN,28476,PL,100,PL,L,"Design ETL processes, optimize databases, and integrate data from multiple systems for real-time processing. Mid-level role involving independent projects and team collaboration. Key skills: Tableau, AWS, Spark."
86,2021,EN,FT,Data Analyst,50000,EUR,59102,FR,50,FR,M,"Analyze business data to identify trends, create reports, and support strategic decisions with visualizations. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: SQL, TensorFlow, Python."
87,2021,MI,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L,General data role involving analysis and modeling.
88,2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L,General data role involving analysis and modeling.
89,2021,SE,FT,Data Analyst,80000,USD,80000,BG,100,US,S,"Conduct ad-hoc analyses, forecast metrics, and assist in data-driven marketing or product strategies. Senior position leading initiatives and mentoring juniors. Key skills: Python, Tableau, SQL."
90,2021,SE,FT,Marketing Data Analyst,75000,EUR,88654,GR,100,DK,L,General data role involving analysis and modeling.
91,2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,100,DE,S,General data role involving analysis and modeling.
92,2021,MI,FT,Lead Data Analyst,1450000,INR,19609,IN,100,IN,L,General data role involving analysis and modeling.
93,2021,SE,FT,Lead Data Engineer,276000,USD,276000,US,0,US,L,General data role involving analysis and modeling.
94,2021,EN,FT,Data Scientist,2200000,INR,29751,IN,50,IN,L,"Utilize statistical modeling and machine learning to analyze large datasets and provide actionable insights for business growth. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: AWS, Spark, Tableau."
95,2021,MI,FT,Cloud Data Engineer,120000,SGD,89294,SG,50,SG,L,General data role involving analysis and modeling.
96,2021,EN,PT,AI Scientist,12000,USD,12000,BR,100,US,S,"Develop algorithms for generative AI, reinforcement learning, or natural language understanding. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Spark, Python, SQL."
97,2021,MI,FT,Financial Data Analyst,450000,USD,450000,US,100,US,L,General data role involving analysis and modeling.
98,2021,EN,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M,General data role involving analysis and modeling.
99,2021,MI,FT,Computer Vision Software Engineer,81000,EUR,95746,DE,100,US,S,General data role involving analysis and modeling.
100,2021,MI,FT,Data Analyst,75000,USD,75000,US,0,US,L,"Use SQL and Excel to process data, identify anomalies, and recommend actions based on performance metrics. Mid-level role involving independent projects and team collaboration. Key skills: TensorFlow, SQL, AWS."
101,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,L,"Collaborate with data scientists to create robust data architectures that support machine learning workflows. Senior position leading initiatives and mentoring juniors. Key skills: TensorFlow, SQL, Spark."
102,2021,MI,FT,BI Data Analyst,11000000,HUF,36259,HU,50,US,L,General data role involving analysis and modeling.
103,2021,MI,FT,Data Analyst,62000,USD,62000,US,0,US,L,"Query databases, clean datasets, and perform exploratory analysis to uncover insights for operational improvements. Mid-level role involving independent projects and team collaboration. Key skills: Spark, TensorFlow, AWS."
104,2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,L,"Apply advanced analytics techniques to uncover patterns in data and develop algorithms for forecasting and classification. Mid-level role involving independent projects and team collaboration. Key skills: Tableau, AWS, TensorFlow."
105,2021,MI,FT,Data Analyst,37456,GBP,51519,GB,50,GB,L,"Analyze business data to identify trends, create reports, and support strategic decisions with visualizations. Mid-level role involving independent projects and team collaboration. Key skills: Tableau, TensorFlow, Python."
106,2021,MI,FT,Research Scientist,235000,CAD,187442,CA,100,CA,L,"Design research protocols, evaluate hypotheses, and contribute to academic or industry advancements. Mid-level role involving independent projects and team collaboration. Key skills: Spark, Python, SQL."
107,2021,SE,FT,Data Engineer,115000,USD,115000,US,100,US,S,"Monitor data quality, implement data governance, and automate workflows using tools like Apache Spark and AWS. Senior position leading initiatives and mentoring juniors. Key skills: AWS, TensorFlow, SQL."
108,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,"Develop infrastructure for big data handling, including cloud-based storage and distributed computing frameworks. Senior position leading initiatives and mentoring juniors. Key skills: TensorFlow, SQL, Spark."
109,2021,EN,FT,Data Engineer,2250000,INR,30428,IN,100,IN,L,"Monitor data quality, implement data governance, and automate workflows using tools like Apache Spark and AWS. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Tableau, AWS, Python."
110,2021,SE,FT,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,L,"Collaborate on feature selection, model training, and A/B testing using frameworks like TensorFlow and PyTorch. Senior position leading initiatives and mentoring juniors. Key skills: AWS, TensorFlow, Python."
111,2021,SE,FT,Director of Data Engineering,82500,GBP,113476,GB,100,GB,M,General data role involving analysis and modeling.
112,2021,SE,FT,Lead Data Engineer,75000,GBP,103160,GB,100,GB,S,General data role involving analysis and modeling.
113,2021,EN,PT,AI Scientist,12000,USD,12000,PK,100,US,M,"Bridge theory and practice by prototyping AI solutions for industry problems. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Python, AWS, TensorFlow."
114,2021,MI,FT,Data Engineer,38400,EUR,45391,NL,100,NL,L,"Build and maintain scalable data pipelines to ensure efficient data flow from sources to analytics platforms. Mid-level role involving independent projects and team collaboration. Key skills: TensorFlow, AWS, SQL."
115,2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L,General data role involving analysis and modeling.
116,2021,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,L,"Work on data visualization, feature engineering, and model deployment to support product development and strategy. Mid-level role involving independent projects and team collaboration. Key skills: Spark, Python, Tableau."
117,2021,MI,FT,Data Science Engineer,34000,EUR,40189,GR,100,GR,M,General data role involving analysis and modeling.
118,2021,EN,FT,Data Analyst,90000,USD,90000,US,100,US,S,"Develop dashboards in Tableau or Power BI, track KPIs, and present findings to non-technical teams. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: SQL, Tableau, Spark."
119,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L,"Build and maintain scalable data pipelines to ensure efficient data flow from sources to analytics platforms. Mid-level role involving independent projects and team collaboration. Key skills: Tableau, SQL, AWS."
120,2021,MI,FT,Big Data Engineer,60000,USD,60000,ES,50,RO,M,General data role involving analysis and modeling.
121,2021,SE,FT,Principal Data Engineer,200000,USD,200000,US,100,US,M,General data role involving analysis and modeling.
122,2021,EN,FT,Data Analyst,50000,USD,50000,US,100,US,M,"Analyze business data to identify trends, create reports, and support strategic decisions with visualizations. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: SQL, TensorFlow, Spark."
123,2021,EN,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L,General data role involving analysis and modeling.
124,2021,EN,PT,Data Analyst,8760,EUR,10354,ES,50,ES,M,"Conduct ad-hoc analyses, forecast metrics, and assist in data-driven marketing or product strategies. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Spark, Python, AWS."
125,2021,MI,FT,Principal Data Scientist,151000,USD,151000,US,100,US,L,General data role involving analysis and modeling.
126,2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,S,General data role involving analysis and modeling.
127,2021,MI,FT,Data Scientist,700000,INR,9466,IN,0,IN,S,"Utilize statistical modeling and machine learning to analyze large datasets and provide actionable insights for business growth. Mid-level role involving independent projects and team collaboration. Key skills: AWS, Spark, Tableau."
128,2021,EN,FT,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S,"Optimize algorithms for performance, integrate ML systems with software architecture, and monitor model drift. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Tableau, Python, SQL."
129,2021,SE,FT,Lead Data Scientist,3000000,INR,40570,IN,50,IN,L,General data role involving analysis and modeling.
130,2021,EN,FT,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,S,General data role involving analysis and modeling.
131,2021,EN,FT,Data Scientist,42000,EUR,49646,FR,50,FR,M,"Utilize statistical modeling and machine learning to analyze large datasets and provide actionable insights for business growth. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: AWS, Python, SQL."
132,2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M,General data role involving analysis and modeling.
133,2021,SE,FT,Computer Vision Engineer,24000,USD,24000,BR,100,BR,M,General data role involving analysis and modeling.
134,2021,EN,FT,Data Scientist,100000,USD,100000,US,0,US,S,"Work on data visualization, feature engineering, and model deployment to support product development and strategy. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: AWS, Python, Spark."
135,2021,MI,FT,Data Analyst,90000,USD,90000,US,100,US,M,"Use SQL and Excel to process data, identify anomalies, and recommend actions based on performance metrics. Mid-level role involving independent projects and team collaboration. Key skills: TensorFlow, Spark, AWS."
136,2021,MI,FT,ML Engineer,7000000,JPY,63711,JP,50,JP,S,General data role involving analysis and modeling.
137,2021,MI,FT,ML Engineer,8500000,JPY,77364,JP,50,JP,S,General data role involving analysis and modeling.
138,2021,SE,FT,Principal Data Scientist,220000,USD,220000,US,0,US,L,General data role involving analysis and modeling.
139,2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,M,"Conduct A/B testing, interpret complex data, and communicate findings to stakeholders using tools like Python and SQL. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: TensorFlow, Tableau, SQL."
140,2021,MI,FT,Data Analyst,135000,USD,135000,US,100,US,L,"Query databases, clean datasets, and perform exploratory analysis to uncover insights for operational improvements. Mid-level role involving independent projects and team collaboration. Key skills: Python, SQL, Spark."
141,2021,SE,FT,Data Science Manager,240000,USD,240000,US,0,US,L,"Manage resource allocation, mentor junior staff, and ensure high-quality deliverables in analytics projects. Senior position leading initiatives and mentoring juniors. Key skills: SQL, TensorFlow, AWS."
142,2021,SE,FT,Data Engineering Manager,150000,USD,150000,US,0,US,L,General data role involving analysis and modeling.
143,2021,MI,FT,Data Scientist,82500,USD,82500,US,100,US,S,"Design experiments, build predictive models, and collaborate with teams to optimize data-driven decision-making processes. Mid-level role involving independent projects and team collaboration. Key skills: AWS, SQL, Spark."
144,2021,MI,FT,Data Engineer,100000,USD,100000,US,100,US,L,"Collaborate with data scientists to create robust data architectures that support machine learning workflows. Mid-level role involving independent projects and team collaboration. Key skills: TensorFlow, AWS, SQL."
145,2021,SE,FT,Machine Learning Engineer,70000,EUR,82744,BE,50,BE,M,"Implement and deploy machine learning models into production environments for scalable applications. Senior position leading initiatives and mentoring juniors. Key skills: TensorFlow, Tableau, SQL."
146,2021,MI,FT,Research Scientist,53000,EUR,62649,FR,50,FR,M,"Collaborate on interdisciplinary projects, analyze experimental data, and innovate in fields like deep learning. Mid-level role involving independent projects and team collaboration. Key skills: Tableau, Python, Spark."
147,2021,MI,FT,Data Engineer,90000,USD,90000,US,100,US,L,"Develop infrastructure for big data handling, including cloud-based storage and distributed computing frameworks. Mid-level role involving independent projects and team collaboration. Key skills: Tableau, Spark, AWS."
148,2021,SE,FT,Data Engineering Manager,153000,USD,153000,US,100,US,L,General data role involving analysis and modeling.
149,2021,SE,FT,Cloud Data Engineer,160000,USD,160000,BR,100,US,S,General data role involving analysis and modeling.
150,2021,SE,FT,Director of Data Science,168000,USD,168000,JP,0,JP,S,General data role involving analysis and modeling.
151,2021,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M,"Conduct A/B testing, interpret complex data, and communicate findings to stakeholders using tools like Python and SQL. Mid-level role involving independent projects and team collaboration. Key skills: AWS, Tableau, Python."
152,2021,MI,FT,Data Scientist,95000,CAD,75774,CA,100,CA,L,"Apply advanced analytics techniques to uncover patterns in data and develop algorithms for forecasting and classification. Mid-level role involving independent projects and team collaboration. Key skills: AWS, Tableau, Python."
153,2021,EN,FT,Data Scientist,13400,USD,13400,UA,100,UA,L,"Utilize statistical modeling and machine learning to analyze large datasets and provide actionable insights for business growth. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Python, Spark, AWS."
154,2021,SE,FT,Data Science Manager,144000,USD,144000,US,100,US,L,"Monitor team performance, handle stakeholder communications, and promote best practices in data ethics. Senior position leading initiatives and mentoring juniors. Key skills: Python, SQL, Spark."
155,2021,SE,FT,Data Science Engineer,159500,CAD,127221,CA,50,CA,L,General data role involving analysis and modeling.
156,2021,MI,FT,Data Scientist,160000,SGD,119059,SG,100,IL,M,"Work on data visualization, feature engineering, and model deployment to support product development and strategy. Mid-level role involving independent projects and team collaboration. Key skills: AWS, Python, SQL."
